Chr	Count	Copies
1	0	1
2	0	1
3	0	1
4	1	1
5	0	1
6	0	1
7	0	1
8	0	1
9	5	1
10	0	1
11	0	1
12	0	1
13	0	1
14	1	1
15	0	1
16	2	1
17	0	1
18	0	1
19	0	1
X	1	1
1	0	2
2	6	2
3	1	2
4	17	2
5	4	2
6	4	2
7	16	2
8	2	2
9	12	2
10	0	2
11	2	2
12	6	2
13	5	2
14	7	2
15	0	2
16	12	2
17	5	2
18	0	2
19	1	2
X	3	2
1	15	3
2	12	3
3	17	3
4	2	3
5	11	3
6	14	3
7	3	3
8	13	3
9	2	3
10	8	3
11	13	3
12	11	3
13	9	3
14	11	3
15	10	3
16	4	3
17	14	3
18	8	3
19	3	3
X	11	3
1	5	4
2	2	4
3	2	4
4	0	4
5	4	4
6	2	4
7	1	4
8	5	4
9	1	4
10	9	4
11	3	4
12	3	4
13	5	4
14	1	4
15	8	4
16	1	4
17	1	4
18	9	4
19	9	4
X	5	4
1	0	5
2	0	5
3	0	5
4	0	5
5	1	5
6	0	5
7	0	5
8	0	5
9	0	5
10	3	5
11	2	5
12	0	5
13	1	5
14	0	5
15	2	5
16	1	5
17	0	5
18	2	5
19	7	5
X	0	5
1	0	6
2	0	6
3	0	6
4	0	6
5	0	6
6	0	6
7	0	6
8	0	6
9	0	6
10	0	6
11	0	6
12	0	6
13	0	6
14	0	6
15	0	6
16	0	6
17	0	6
18	1	6
19	0	6
X	0	6
