Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	44/128	2.700236553929048E-26	7.069219298186248E-23	0	0	10.902252887982854	641.8578523346263	ERCC6L;ZWILCH;BUB1B;CDCA8;TTK;KIF11;PMF1;CENPA;SKA1;NSL1;AURKB;AURKA;CDC20;CCNB1;NUF2;NUSAP1;KNTC1;SPDL1;BUB1;DLGAP5;CENPU;STIL;PLK1;KNL1;TUBG1;RANGAP1;NDC80;SGO1;CENPE;KIF18A;CENPF;ESPL1;INCENP;CENPI;CENPK;CENPL;TACC3;BIRC5;CENPM;KIF2C;CENPN;CENPP;SPC24;MAD2L1
mitotic spindle organization (GO:0007052)	44/157	3.236926491301777E-22	4.237136777114026E-19	0	0	8.091934371448277	400.4071015881441	ERCC6L;ZWILCH;BUB1B;CDCA8;TTK;KIF11;PMF1;CENPA;SKA1;NSL1;AURKB;AURKA;CDC20;CCNB1;NUF2;KNTC1;SPDL1;BUB1;DLGAP5;CENPU;STIL;PLK1;KIF23;KNL1;TUBG1;RANGAP1;NDC80;SGO1;TPX2;CENPE;KIF18A;CENPF;INCENP;CENPI;PRC1;CENPK;CENPL;BIRC5;CENPM;KIF2C;CENPN;CENPP;SPC24;MAD2L1
mitotic sister chromatid segregation (GO:0000070)	30/102	3.288036122115313E-16	2.869359522565963E-13	0	0	8.546396396396396	304.6881849333932	CDCA5;NCAPG2;KIF14;NCAPG;CDCA8;NCAPH;NSL1;SMC2;CCNB1;NUSAP1;SPDL1;CEP55;DLGAP5;SPAG5;PLK1;KIF23;KIF22;HASPIN;TUBG1;KNSTRN;NDC80;SGO1;CENPE;KIF18A;ESPL1;PRC1;CENPK;CDK1;KIF2C;NCAPD2
centromere complex assembly (GO:0034508)	16/37	3.227898588472613E-12	2.112659626155325E-9	0	0	15.436076880166336	408.42608766533374	CENPU;HELLS;KNL1;CENPA;CENPE;CENPF;NASP;MIS18BP1;CENPI;CENPK;CENPL;CENPM;OIP5;CENPN;CENPP;DLGAP5
sister chromatid segregation (GO:0000819)	14/34	1.6589768301683804E-10	8.68640268276164E-8	0	0	14.15249734325186	318.7092851680411	TOP2A;SPAG5;NCAPG2;PLK1;CDCA8;TUBG1;KNSTRN;NSL1;NDC80;SGO1;KIF18A;ESPL1;CENPK;NUSAP1
chromatin remodeling at centromere (GO:0031055)	13/32	9.222024924459852E-10	4.0238768753726486E-7	0	0	13.819309420046933	287.5004549730364	CENPU;HELLS;KNL1;CENPA;NASP;MIS18BP1;CENPI;CENPK;CENPL;CENPM;OIP5;CENPN;CENPP
CENP-A containing chromatin organization (GO:0061641)	12/30	5.111123416151419E-9	1.672615137935552E-6	0	0	13.451396253092966	256.81199395826104	CENPU;NASP;MIS18BP1;CENPI;CENPK;CENPL;CENPM;OIP5;CENPN;KNL1;CENPP;CENPA
CENP-A containing nucleosome assembly (GO:0034080)	12/30	5.111123416151419E-9	1.672615137935552E-6	0	0	13.451396253092966	256.81199395826104	CENPU;NASP;MIS18BP1;CENPI;CENPK;CENPL;CENPM;OIP5;CENPN;KNL1;CENPP;CENPA
histone exchange (GO:0043486)	13/38	1.1004040147518768E-8	3.20095301180046E-6	0	0	10.49936305732484	192.40086315049848	CENPU;KNL1;CENPA;NASP;MIS18BP1;CENPI;CENPK;CENPL;ANP32E;CENPM;OIP5;CENPN;CENPP
DNA replication-independent nucleosome assembly (GO:0006336)	13/39	1.578747774830239E-8	4.133161674505566E-6	0	0	10.095010615711253	181.34726292044465	CENPU;KNL1;CENPA;NASP;MIS18BP1;CENPI;CENPK;CENPL;CENPM;OIP5;CENPN;CENPP;ASF1B
