Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
sequestering of BMP from receptor via BMP binding (GO:0038098)	4/8	1.125179572677967E-4	0.16481168223332576	0	0	26.348837209302324	239.57410760100439	GREM1;GREM2;BMP2;NBL1
synapse assembly (GO:0007416)	10/69	2.0232656890729734E-4	0.16481168223332576	0	0	4.490005844535359	38.190317133552405	FLRT3;NRXN1;SPOCK2;LGI2;PCDHB16;WNT7A;PCDHB14;PCDHB3;PCDHB10;PCDHB9
regulation of osteoblast proliferation (GO:0033688)	5/17	2.830640600074586E-4	0.16481168223332576	0	0	10.989155251141552	89.77961074634018	GREM1;MN1;BMP2;TNN;LTF
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	7/36	2.8939715932102853E-4	0.16481168223332576	0	0	6.377984084880636	51.9659682771402	PCDHGB4;PCDHB16;PCDHB14;CDH13;PCDHB3;PCDHB10;PCDHB9
synapse organization (GO:0050808)	13/126	7.537840044047653E-4	0.25195533266830167	0	0	3.0517000465766184	21.94295834966218	UNC13B;UNC13C;UNC13A;NRXN1;WNT7B;PCDHB14;PCDHB10;FLRT3;SPOCK2;PCDHB16;CNTN2;PCDHB3;PCDHB9
L-ornithine transmembrane transport (GO:1903352)	3/6	9.096621360219184E-4	0.25195533266830167	0	0	26.314207650273225	184.2635893410325	SLC25A2;SLC7A2;SLC7A3
negative regulation of monocyte chemotaxis (GO:0090027)	3/6	9.096621360219184E-4	0.25195533266830167	0	0	26.314207650273225	184.2635893410325	GREM1;CCN3;NBL1
membrane depolarization (GO:0051899)	6/32	9.653602203088232E-4	0.25195533266830167	0	0	6.0902184235517565	42.28444279433568	CHRNA4;CACNA1B;SCN3B;CACNA1E;CACNA1H;SCN1B
regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	8/58	0.0012090803131851835	0.25195533266830167	0	0	4.22888583218707	28.409212172225377	ACVRL1;GREM1;BMP3;BMP2;BMP8A;INHBB;GDF6;GDF7
sequestering of extracellular ligand from receptor (GO:0035581)	4/14	0.0013485069645984473	0.25195533266830167	0	0	10.53625170998632	69.63152988354558	GREM1;GREM2;BMP2;NBL1
neuromuscular process controlling balance (GO:0050885)	4/14	0.0013485069645984473	0.25195533266830167	0	0	10.53625170998632	69.63152988354558	USH1G;NRXN1;TPP1;SHANK1
regulation of insulin secretion (GO:0050796)	11/104	0.0015341208872209275	0.25195533266830167	0	0	3.132121428147092	20.295513457733595	GLP1R;KCNC2;ALOX5;KCNS3;BMP8A;CCN3;INHBB;CACNA1E;SLC8B1;SOX4;RAPGEF3
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)	7/47	0.001537037924310459	0.25195533266830167	0	0	4.621394230769231	29.936921093960834	ACVRL1;BMP3;BMP2;BMP8A;INHBB;GDF6;GDF7
synaptic vesicle docking (GO:0016081)	3/7	0.0015484524395769196	0.25195533266830167	0	0	19.734631147540984	127.6929164909107	UNC13B;UNC13C;UNC13A
lens fiber cell differentiation (GO:0070306)	3/8	0.0024100178296009404	0.3431262884894339	0	0	15.78688524590164	95.16525658031118	MAF;WNT7B;WNT7A
negative regulation of osteoblast proliferation (GO:0033689)	3/8	0.0024100178296009404	0.3431262884894339	0	0	15.78688524590164	95.16525658031118	GREM1;MN1;TNN
pyrimidine-containing compound catabolic process (GO:0072529)	4/17	0.002936756812440924	0.3935254128670838	0	0	8.103546248553089	47.24731661834965	NT5E;DPYSL5;DPYD;UPB1
