Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pluripotent Stem Cells	26/112	1.2791607554197571E-11	1.4156145657544768E-9	0	0	6.169850051317996	154.75360928099602	PIF1;SUV39H2;ERCC6L;BUB1B;MCM10;KIF11;SPN;KNTC1;FBXO5;BUB1;PLK4;FANCI;GINS1;HELLS;CDC6;NDC80;TICRR;SGO1;CCNA2;DEPDC1B;CENPF;NASP;FANCD2;AUNIP;DNA2;MAD2L1
Epithelial Cells	37/218	1.590578163769075E-11	1.4156145657544768E-9	0	0	4.200628317625393	104.44584418279133	LAD1;PSCA;TACSTD2;LAMC2;BRCA1;HMMR;KIF15;CDH3;HIRIP3;GPA33;CDH1;EXO1;MUC13;EMILIN2;ITGB6;ECT2;FAM83B;KRT6A;BOK;FGFBP1;LAMB3;CKAP2L;KRT8;KIF23;KNL1;KLK10;SYT8;ANLN;CXCL10;KRT19;SPINT1;GJB3;INCENP;PRC1;SCGB1A1;B3GNT3;KIF20B
Mammary Epithelial Cells	19/134	2.0543505807317918E-5	0.0012189146779008632	0	0	3.341415830546265	36.06378640199433	LAD1;GPR39;FGFBP1;KRT80;WNT5B;LAMB3;KRT8;TACSTD2;LAMC2;SYT8;KRT19;KRT18;CDH1;GJB3;B3GNT3;ITGB6;FAM83B;KRT6A;ABCG2
Trichocytes	15/103	1.0936349344180067E-4	0.004078441167782018	0	0	3.4375604448742747	31.353416194511873	LAD1;GPR39;FGFBP1;KRT80;CDSN;LAMB3;KRT8;LAMC2;KRT19;KRT18;GJB3;PADI3;B3GNT3;FAM83B;KRT6A
Keratinocytes	17/127	1.1456295415118027E-4	0.004078441167782018	0	0	3.119742198100407	28.309745138662713	LAD1;FGFBP1;KRT80;CDSN;LAMB3;CRCT1;TACSTD2;LAMC2;SYT8;TGM1;GJB3;B3GNT3;LIPK;LGALS7;FAM83B;KRT6A;IL13RA1
Undefined Placental Cells	15/108	1.8792712238893826E-4	0.005575171297538502	0	0	3.2518874399450928	27.899426239317645	EIF5A;BATF3;TFRC;CDCA5;KRT8;KRT23;TUBG1;DUSP9;CDC20;RECQL4;KRT19;KRT18;SAPCD2;TK1;MBNL3
Luminal Epithelial Cells	17/140	3.750374028608355E-4	0.009536665387032673	0	0	2.78809783833446	21.993867407477005	LAD1;CD74;FGFBP1;LAMB3;KRT8;TACSTD2;KRT23;LAMC2;SYT8;KRT19;KRT18;CDH1;GJB3;B3GNT3;SAA2;ITGB6;FAM83B
Trophoblast Cells	16/130	4.739261207773145E-4	0.010544856187295247	0	0	2.8295872802346653	21.658960139701534	LAD1;IL1RN;FGFBP1;KRT80;LAMB3;SERPINE1;TACSTD2;KRT23;LAMC2;SYT8;KLK10;GJB3;B3GNT3;ITGB6;FAM83B;KRT6A
Ductal Cells	16/132	5.622038535077158E-4	0.010895191462010897	0	0	2.780507509823363	20.808334029480967	LAD1;GPR39;LAMB3;KRT8;TACSTD2;LAMC2;PDLIM3;KRT19;KRT18;CDH1;UBD;GSTA1;B3GNT3;SERPING1;MUC13;ITGB6
Gamma Delta T Cells	17/146	6.120894079781402E-4	0.010895191462010897	0	0	2.657575907836234	19.662426671455904	TOP2A;H2AX;H2AZ1;UBE2C;TROAP;HMGB2;MKI67;TYMS;CENPA;AURKB;ASPM;CCNB1;TUBA1B;CENPF;NUSAP1;BIRC5;TRDC
Airway Smooth Muscle Cells	13/99	8.500418873706892E-4	0.012608954662665225	0	0	3.042351750357972	21.510111192531852	MYOCD;TAGLN;HSPB6;PCDH18;LOXL1;ACTG2;LOXL2;ACTA2;CNN1;COL3A1;ADGRA2;COL6A3;MYL9
Pulmonary Vascular Smooth Muscle Cells	13/99	8.500418873706892E-4	0.012608954662665225	0	0	3.042351750357972	21.510111192531852	TAGLN;HSPB6;THY1;PCDH18;ACTA2;CNN1;COL3A1;SGCD;ADGRA2;OLFML3;SERPING1;COL6A3;MYL9
Foveolar Cells	14/114	0.0010694090130216568	0.014642677255219607	0	0	2.818597236981934	19.28103467320839	LAD1;GPR39;ARL14;PSCA;LAMB3;KRT8;KRT19;GSTA2;GSTA1;B3GNT3;MUC13;CLDN18;GCNT3;ITGB6
Basal Cells	16/141	0.0011547119735065205	0.014681337948868617	0	0	2.579084132055378	17.44467835324678	LAD1;FGFBP1;KRT80;LAMB3;TACSTD2;KRT23;LAMC2;SYT8;ACTG2;KRT19;CDH3;GJB3;BDKRB2;B3GNT3;ITGB6;KRT6A
Sebocytes	14/124	0.0024003507410166255	0.028484162126730623	0	0	2.561008598203072	15.448363456130593	LAD1;IL1RN;FGFBP1;RBM47;LAMB3;TACSTD2;KRT23;SPINT1;CDH1;GJB3;EXO1;B3GNT3;F2RL1;KRT6A
Myoepithelial Cells	13/115	0.003340524550531924	0.036433052246766066	0	0	2.5629553307522586	14.613016424055722	FGFBP1;LAMB3;TACSTD2;LAMC2;ACTG2;ACTA2;CNN1;CDH3;GJB3;BDKRB2;ITGB6;MYL9;KRT6A
Juxtaglomerular Cells	12/103	0.003684241238437018	0.036433052246766066	0	0	2.6505074988638087	14.85262416861818	ACTA2;CNN1;MYOCD;TAGLN;COL3A1;HSPB6;OLFML3;BDKRB2;SERPING1;COL6A3;MYL9;ACTG2
Vascular Smooth Muscle Cells	12/103	0.003684241238437018	0.036433052246766066	0	0	2.6505074988638087	14.85262416861818	ACTA2;SFRP4;CNN1;MYOCD;COL3A1;SGCD;HSPB6;ADGRA2;OLFML3;COL6A3;THY1;PCDH18
Salivary Mucous Cells	12/105	0.004312799077365663	0.04040411767216253	0	0	2.5932336742722266	14.123186636510047	CNN1;CDSN;GJB3;CRCT1;TACSTD2;BDKRB2;LAMC2;LIPK;ITGB6;LGALS7;SYT8;KRT6A
Stromal Cells	13/124	0.00634653023857455	0.0564841191233135	0	0	2.354029188424093	11.911027608270574	TAGLN;LAMC2;THY1;PCDH18;ACTA2;COL3A1;SGCD;ADGRA2;OLFML3;MMRN2;SERPING1;COL6A3;MYL9
Smooth Muscle Cells	16/169	0.007101028272085503	0.060189668211010454	0	0	2.1039765568989397	10.409457002174115	AOC3;MYOCD;TAGLN;HSPB6;THY1;PCDH18;ACTG2;ACTA2;CNN1;COL3A1;SGCD;OLFML3;PDGFD;COL6A3;SNCG;MYL9
Myofibroblasts	11/100	0.008151715055781713	0.06595478545132477	0	0	2.481860597981337	11.936575401299079	ACTA2;CNN1;MYOCD;TAGLN;COL3A1;HSPB6;OLFML3;COL6A3;THY1;MYL9;PCDH18
Fibroblasts	19/232	0.015805635664052874	0.12232187600875702	0	0	1.794711287669034	7.443365341069839	TAGLN;HSPB6;THY1;IGF1;NGF;ENO3;PCDH18;CXCL14;KLF2;ACTA2;COL3A1;IL6;SGCD;OLFML3;DPEP1;COL6A3;PTX3;MYL9;P4HTM
Pericytes	14/155	0.016575797964966686	0.12293716824016959	0	0	1.9946789668452907	8.177807969313514	AOC3;TAGLN;HSPB6;THY1;PCDH18;DLK1;ACTA2;INPP4B;COL3A1;SGCD;ADGRA2;OLFML3;SERPING1;COL6A3
Trophoblast Stem Cells	10/99	0.019780327508983717	0.13968031351696908	0	0	2.2538493549729504	8.842002918507097	KRT80;KRT19;CDH3;KRT18;GJB3;USP43;KRT8;PADI3;LYPD6;FAM83B
Hepatoblasts	11/114	0.020402742423826944	0.13968031351696908	0	0	2.142936481816686	8.340492982535821	LAD1;KRT19;KRT18;CDH1;FGL1;GSTA2;KRT8;RHPN2;APOB;FOXM1;DLK1
Merkel Cells	10/111	0.03956777231431836	0.26085420266476544	0	0	1.9848080046099847	6.410414444925488	KRT19;KRT18;ARL14;CDH1;GSTA1;KRT8;B3GNT3;DPEP1;MUC13;ALPI
Satellite Glial Cells	10/114	0.04610408494086658	0.2930902542669375	0	0	1.9272486772486772	5.929862266726189	P2RY12;TMEM132C;IL6;RAMP3;CDH1;RASSF4;BDKRB2;SERPING1;AQP4;MT3
Mesangial Cells	12/148	0.05130171550322184	0.3047520453799761	0	0	1.7692907491734764	5.254848526554905	ACTA2;TAGLN;COL3A1;OLFML3;NOCT;MRC1;NOSTRIN;COL6A3;SNCG;THY1;MYL9;PCDH18
Hepatic Stellate Cells	11/132	0.051362704277524054	0.3047520453799761	0	0	1.8224191063174113	5.410476147824881	ACTA2;TAGLN;COL3A1;HSPB6;OLFML3;MYB;RBP1;COL6A3;THY1;MYL9;PCDH18
Monocytes	13/176	0.07922486818757678	0.42752221140012575	0	0	1.5986479621742018	4.053316014851151	IL1RN;AQP9;PLEK;FGL2;MEFV;SNX20;SPN;CXCL10;MRC1;C3AR1;ACP5;PADI4;CMKLR1
Microfold Cells	10/126	0.07935105592699485	0.42752221140012575	0	0	1.7267834336799854	4.3754508258199385	LAD1;IL1RN;RBM47;SPINT1;LAMB3;FABP5;TACSTD2;B3GNT3;CYBA;IL13RA1
Endothelial Cells	17/246	0.08165898882431322	0.42752221140012575	0	0	1.489148145734211	3.7306189619403116	BTNL9;EGFL7;RAMP3;CD93;HSPB6;CAVIN2;APOLD1;RASGRP3;APLN;PLAC8;TMEM100;SLC7A5;COL3A1;MMRN2;NOSTRIN;MFSD2A;ABCG2
Pancreatic Stellate Cells	9/111	0.08378926751638706	0.42752221140012575	0	0	1.7668511379181693	4.38081967636033	ACTA2;TAGLN;COL3A1;HSPB6;OLFML3;COL6A3;THY1;MYL9;PCDH18
Osteoclasts	11/144	0.08406335617418204	0.42752221140012575	0	0	1.6569389575634	4.102886604372199	IL1RN;EGFL7;CD93;RASSF4;AQP9;MRC1;C3AR1;SERPING1;ACP5;CMKLR1;IL13RA1
Myocytes	12/163	0.09082656582119977	0.4490869087825989	0	0	1.5922692829001426	3.819541066733794	ACTA1;PDLIM3;COL3A1;SGCD;ACTN3;HSPB6;MRC1;TNNI2;CDH15;ENO3;TRIM54;CMKLR1
Cholangiocytes	10/134	0.10807812480685113	0.5199434112329594	0	0	1.614695340501792	3.5925371736757	LAD1;KRT19;CDH1;GSTA1;KRT8;TACSTD2;B3GNT3;MUC13;AQP4;ITGB6
Airway Goblet Cells	9/118	0.1115264332565639	0.522413292622852	0	0	1.6527726593866983	3.6253463276602576	LAD1;KRT19;PSCA;CDH1;GJB3;TACSTD2;B3GNT3;MUC13;ITGB6
Osteoblasts	11/154	0.11934063337445444	0.5446828907859715	0	0	1.5402542372881356	3.274231501637944	ACTA2;SFRP4;TAGLN;COL3A1;OLFML3;BDKRB2;COL6A3;THY1;MYL9;PCDH18;PHEX
Platelets	14/214	0.14547934928503148	0.6473831043183901	0	0	1.4018597236981933	2.7023946131306436	P2RY12;CDKN2D;CD93;CAVIN2;SERPINE1;AQP9;PLEK;FGL2;CXCL14;TMEM71;NRGN;SPN;C3AR1;MYL9
T Cells	11/165	0.16634756062574158	0.7221918485702927	0	0	1.4294037530266344	2.56388712139665	BATF3;TRAC;PMCH;MYB;TRDC;THY1;TRAF1;LTB;TIGIT;SNX20;IL18R1
Pulmonary Alveolar Type II Cells	9/135	0.19690974447697462	0.8345222504024162	0	0	1.4284959226819691	2.3213198808891957	IL1RN;RBM47;SPINT1;LAMB3;UBD;MRC1;SCGB1A1;TACSTD2;CLDN18
Peritubular Myoid Cells	8/120	0.21510113696974906	0.8904186600143101	0	0	1.428043445466888	2.1943986148684163	ACTA2;MYOCD;TAGLN;COL3A1;HSPB6;OLFML3;COL6A3;MYL9
Goblet Cells	8/122	0.22795590345320585	0.9221852457879692	0	0	1.4028418459030363	2.0742462665859143	LAD1;KRT19;ARL14;KRT8;B3GNT3;MUC13;ALPI;OTOGL
Dendritic Cells	12/199	0.24343677740877015	0.962927697305802	0	0	1.2832863599503235	1.813152745778783	PLAC8;CD74;BATF3;IL6;XCR1;ARG1;AQP9;PLEK;FGL2;AP1S3;TRAF1;SNX20
Spermatozoa	7/108	0.257571389359841	0.9966892892619933	0	0	1.384968876634499	1.8786526069926133	CD74;APOL6;DHRS9;RASSF4;AQP9;MRC1;FGL2
Chondrocytes	9/146	0.26334470122826986	0.9973480174177028	0	0	1.3130352926652367	1.7519717696718715	TAGLN;COL3A1;SGCD;OLFML3;COL6A3;THY1;PCDH18;MATN3;DLK1
Enteric Glia Cells	7/111	0.2798808860592882	0.9987800129401172	0	0	1.344804852320675	1.7124626286959101	TMEM132C;RAMP3;RGS16;STMN2;AQP4;THY1;CXCL14
Basophils	10/169	0.2886269109062844	0.9987800129401172	0	0	1.2569298858607034	1.5618867057326056	IL1RN;CD93;CDH1;AQP9;PLEK;FGL2;C3AR1;RNF39;ITGB7;E2F8
Clara Cells	7/113	0.29501280455205436	0.9987800129401172	0	0	1.3192918557439695	1.610507746632911	CDH1;SCGB1A1;TACSTD2;B3GNT3;ITGB6;FOXM1;SYT8
Anterior Pituitary Gland Cells	8/133	0.3028594580583167	0.9987800129401172	0	0	1.278648363252376	1.5273281005773696	RAB3C;FGF7;SGCD;STMN2;SLC17A6;ASB4;THY1;PCDH18
