Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immature Neurons	16/136	4.051770950999769E-5	0.007050081454739598	0	0	3.550301344459898	35.906936225875235	NTRK1;UNC13A;CADM2;NRXN1;RAX;CACNA1B;CELF5;TMEM179;CUX2;DPYSL5;ADGRB3;NOVA2;CNTN2;SCN3B;GPM6B;SOX5
Endothelial Cells	22/246	1.1687501795644609E-4	0.010168126562210809	0	0	2.6228586455620118	23.748425527660725	ACVRL1;IL33;POSTN;PRKCH;CFH;VWF;IRX3;FMO2;PODN;RNASE1;THSD1;RGS5;FGD5;BMP2;CLEC3B;GPR182;PECAM1;VWA1;PTGDS;SCARF1;CD55;RPRM
Oligodendrocytes	17/178	3.14657355146936E-4	0.018250126598522286	0	0	2.8094603712867006	22.65556224593728	PTPRT;IL33;OLIG3;ARRDC2;NRXN1;HDAC11;DUSP15;SRCIN1;NIPAL4;EFNB3;PSD2;SEC14L5;ENPP2;CNTN2;SP7;PTGDS;GPM6B
Urothelial Cells	11/106	0.001790153435526365	0.0670367192592588	0	0	3.065862169235243	19.39296995208682	SLC22A18;CDC42BPG;SYTL1;ZBTB42;TRPV1;NECTIN4;EVPL;SSH3;IVL;TJP3;CRB3
Beta Cells	13/145	0.0027091945920021693	0.0670367192592588	0	0	2.609848484848485	15.427085522710291	PTPRT;NTRK1;SVOP;CADM2;NRXN1;CACNA1B;DUSP26;CXXC4;TMEM179;ADGRB3;FXYD2;NOVA2;SCN3B
Mast Cells	18/235	0.002750192506965583	0.0670367192592588	0	0	2.2036519291209533	12.992917690085969	UNC13B;ABCA1;ACVRL1;IL33;POSTN;CFH;VWF;GP1BA;FMO2;PODN;RNASE1;HS3ST1;HSD11B1;CLEC3B;ENPP2;PTGDS;CD55;ITGA9
Retinal Progenitor Cells	11/112	0.002774042360259741	0.0670367192592588	0	0	2.88282916689459	16.972511675572196	TMEM179;UNC13A;EFNB3;IGDCC4;DPYSL5;CADM2;NOVA2;RAX;CACNA1B;SAG;CELF5
Satellite Glial Cells	11/114	0.0031851258708394314	0.0670367192592588	0	0	2.826556884621574	16.250620245040356	PTPRT;IL33;MAF;VWF;NRXN1;ENPP2;PTGDS;PLXDC2;RNASE1;SCN4B;MTURN
Trophoblast Stem Cells	10/99	0.0034674165134099383	0.0670367192592588	0	0	2.9718713676869433	16.833706157458955	ALDH1A3;IRX3;WNT7B;KCNS3;ARHGEF16;SP6;HOXC13;NECTIN4;ALOXE3;PTGES
Ependymal Cells	12/136	0.00441525393466213	0.07006128036369508	0	0	2.5620398875652524	13.893147899161665	PTPRT;DRC7;CFAP100;CCDC153;EFNB3;TEKT4;DYNLRB2;CELSR2;PLTP;IQCG;CCDC40;PPIL6
Dopaminergic Neurons	11/119	0.004429161402302562	0.07006128036369508	0	0	2.6949943728258647	14.605643312100108	TMEM179;UNC13A;TH;DPYSL5;CHRNA4;NRXN1;NOVA2;CACNA1B;CNTN2;CELF5;SRCIN1
Adrenergic Neurons	10/106	0.005645411821958902	0.08185847141840408	0	0	2.754166666666667	14.258078826467324	ENHO;TMEM179;ARVCF;TH;CHRNA4;MMP15;EBF4;SEMA4G;CACNA1H;HGFAC
Enteric Glia Cells	10/111	0.007766348378286793	0.10096042420584579	0	0	2.6171389552748376	12.71394376877832	PTPRT;ALDH1A3;NRXN1;TSPAN7;CNTN2;APOD;CCDC3;SCN4B;GPM6B;DHRS3
Loop Of Henle Cells	12/147	0.008123252522309431	0.10096042420584579	0	0	2.3519286921776548	11.319890765966804	C3;RGS5;IL33;POSTN;ARVCF;KCNT1;VWF;CYP4B1;FMO2;PAMR1;RNASE1;SASH1
Cholangiocytes	11/134	0.010576799389369618	0.11975555117149445	0	0	2.364483672461034	10.75625473624039	PRR15L;FXYD2;DUOXA2;ARHGEF16;CBLC;ALPL;HMGCS2;RAB17;DUOX2;TJP3;CRB3
Adipocytes	15/210	0.011012004705424776	0.11975555117149445	0	0	2.0373931623931623	9.186135670101336	ACVRL1;TRARG1;POSTN;CFH;NR1H3;RNASE4;FMO2;PODN;C3;HSD11B1;CLEC3B;C6;AOX1;LPIN1;PTGES
Intercalated Cells	10/118	0.011707678925633017	0.11983153723883205	0	0	2.4466155810983397	10.881348080336135	PTPRT;SLC5A8;FXYD2;INSRR;CYP4B1;SLC26A11;FMO2;MAP3K13;CCDC40;PPIL6
Purkinje Fiber Cells	9/102	0.012792316320890187	0.12365905776860514	0	0	2.555585177286057	11.139567256455251	TMEM179;UNC13A;ADGRB3;NRXN1;NOVA2;CACNA1B;CNTN2;SCN3B;GPM6B
Neuroendocrine Cells	10/123	0.015336382932588825	0.14044898054055027	0	0	2.3377479401891974	9.766005850076906	TMEM179;PSD2;NEGR1;ADGRB3;CADM2;KCNC2;NRXN1;CNTN2;SCN3B;DUSP26
Epiblast Cells	9/109	0.019041345135633318	0.15777114540953321	0	0	2.3758264462809917	9.41098735663059	CECR2;SEMA6A;EFNB3;DPYSL5;IGDCC3;CACNA1B;IL17RD;SLC7A3;RPRM
Gastric Chief Cells	9/109	0.019041345135633318	0.15777114540953321	0	0	2.3758264462809917	9.41098735663059	GPRIN2;PRR15L;STARD10;ARHGEF16;CBLC;BHLHA15;HMGCS2;TJP3;CRB3
GABAergic Neurons	9/113	0.023474970685936403	0.18431025679264557	0	0	2.283971710108074	8.569051889396656	PTPRT;TMEM179;PSD2;SEMA3C;ADGRB3;CADM2;KCNC2;CNTN2;DUSP26
